iter	Passed	Remaining
0	4	488
1	8	424
2	12	412
3	15	383
4	19	362
5	22	350
6	25	339
7	28	330
8	32	325
9	35	320
10	38	314
11	42	310
12	46	308
13	49	305
14	53	302
15	56	298
16	60	295
17	64	292
18	67	289
19	71	287
20	75	284
21	79	281
22	82	276
23	85	270
24	87	262
25	89	255
26	91	248
27	93	241
28	95	234
29	97	227
30	99	221
31	101	214
32	102	207
33	103	201
34	105	195
35	106	189
36	108	184
37	109	178
38	111	173
39	112	168
40	113	163
41	114	158
42	115	153
43	117	149
44	118	144
45	119	140
46	120	135
47	121	131
48	122	127
49	123	123
50	124	120
51	126	116
52	127	112
53	128	109
54	128	105
55	129	102
56	130	98
57	132	95
58	133	92
59	134	89
60	135	86
61	136	83
62	137	80
63	139	78
64	140	75
65	141	72
66	142	70
67	143	67
68	144	64
69	145	62
70	146	59
71	147	57
72	148	55
73	149	52
74	150	50
75	151	47
76	152	45
77	153	43
78	154	41
79	156	39
80	157	36
81	158	34
82	159	32
83	160	30
84	162	28
85	163	26
86	164	24
87	166	22
88	167	20
89	169	18
90	170	16
91	171	14
92	172	12
93	173	11
94	174	9
95	175	7
96	176	5
97	178	3
98	179	1
99	180	0
